"대여일자","누적횟수","기온C","풍속ms","강수량mm","습도"
2021-03-29,2092,11.3958333333333,2.09583333333333,0,58.2958333333333
2021-03-30,2852,11.5916666666667,1.27083333333333,0,40.95
2021-03-31,3330,13.9125,0.6875,0,39.9291666666667
2021-04-01,3281,16.9875,1.46666666666667,0,35.6333333333333
2021-04-02,3092,18.1666666666667,1.38333333333333,0,30.7166666666667
2021-04-03,381,15.6,0.854166666666667,2.25,77.7291666666667
2021-04-04,2357,12.55,1.75833333333333,0,59.4708333333333
2021-04-05,3213,12.5625,1.20416666666667,0,39.2541666666667
2021-04-06,3236,14.4875,1.6125,0,43.15
2021-04-07,3139,14.5666666666667,1.59166666666667,0,42.1
2021-04-08,2903,14.0625,1.85,0,29.425
2021-04-09,3069,13.7791666666667,1.24166666666667,0,35.0666666666667
2021-04-10,2682,13.3166666666667,1.70416666666667,0,41.6041666666667
2021-04-11,2741,14.7916666666667,0.854166666666667,0,45.1875
2021-04-12,834,14.1708333333333,1.225,0.6875,65.2208333333333
2021-04-13,2584,11.7166666666667,2.35416666666667,0.3125,72.0625
2021-04-14,2915,9.31666666666667,2,0,46.3166666666667
2021-04-15,3288,11.6916666666667,1.1,0,55.8583333333333
2021-04-16,2297,11.6083333333333,1.55,0.0208333333333333,58.4333333333333
2021-04-17,1865,9.7375,1.51666666666667,0,52.5916666666667
2021-04-18,2664,10.8958333333333,2.10833333333333,0,53.3625
2021-04-19,3264,12.8125,1.42083333333333,0,57.9833333333333
2021-04-20,3119,15.1208333333333,1.02916666666667,0,51.8333333333333
2021-04-21,3239,19.1416666666667,0.866666666666667,0,39.9208333333333
2021-04-22,3126,21.5,1.3,0,33.3166666666667
2021-04-23,3219,20.05,1.20416666666667,0,35.8458333333333
2021-04-24,2877,19.0125,1.16666666666667,0,35.0041666666667
2021-04-25,3193,18.0791666666667,1.1,0,49.1416666666667
2021-04-26,3364,17.2,1.70416666666667,0,41.9458333333333
2021-04-27,4594,16.0041666666667,1.29583333333333,0,55.2625
2021-04-28,6422,15.3583333333333,1.4375,0.145833333333333,62.1375
2021-04-29,2977,15.0458333333333,1.125,0.0833333333333333,48.3833333333333
2021-04-30,2233,11.5416666666667,1.4125,1,82.75
2021-05-01,874,11.15,1.6875,0.375,76.8375
2021-05-02,2887,13.0583333333333,1.46666666666667,0.0625,62.8083333333333
2021-05-03,3328,14.2708333333333,1.20416666666667,0,55.7333333333333
2021-05-04,729,14.3666666666667,0.883333333333333,0.6875,77.9083333333333
2021-05-05,2836,14.8791666666667,2.06666666666667,0.145833333333333,60.9166666666667
2021-05-06,3245,15.875,1.56666666666667,0,43.9541666666667
2021-05-07,2307,15.15,2.21666666666667,0.333333333333333,52.7083333333333
2021-05-08,1693,14.6958333333333,2.075,0,61.3458333333333
2021-05-09,2690,16.6458333333333,2.025,0,43.25
2021-05-10,2354,13.0458333333333,0.845833333333333,0,69.4
2021-05-11,3238,18.225,1.40416666666667,0,52.9333333333333
2021-05-12,3083,22.0041666666667,1.06666666666667,0,32.3708333333333
2021-05-13,3054,22.7916666666667,1.02916666666667,0,52.7958333333333
2021-05-14,2932,23.9333333333333,0.925,0,57.1458333333333
2021-05-15,797,21.8291666666667,0.791666666666667,0.729166666666667,81.075
2021-05-16,71,18.7208333333333,0.7625,1.97916666666667,98.2166666666667
2021-05-17,1330,15.4291666666667,0.65,0.104166666666667,93.8291666666667
2021-05-18,3189,18.7291666666667,1.15,0,71.7791666666667
